feature_id,cosine,feature_desc
ShortName:AST,0.148198275,ShortName:AST
RXNORM:18631,0.146760895,azithromycin
Phecode:573.6,0.145232316,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
Phecode:260,0.144935015,Protein-calorie malnutrition
Phecode:1013,0.144656043,Asphyxia and hypoxemia
Phecode:288,0.144397685,Diseases of white blood cells
ShortName:A1c,0.144291224,ShortName:A1c
Phecode:480.3,0.14360366,Pneumonia due to fungus (mycoses)
RXNORM:1876376,0.142980574,dupilumab
LOINC:772-4,0.142797415,LOINC:ERYTHROCYTES.NUCLEATED
ShortName:Bilirubin Total,0.142268653,ShortName:Bilirubin Total
ShortName:ALT,0.142142699,ShortName:ALT
RXNORM:39954,0.142063059,zinc sulfate
ShortName:Phosphatase Alkaline,0.140540002,ShortName:Phosphatase Alkaline
ShortName:Anion - BSP,0.140251092,Anion - BSP
RXNORM:321064,0.1398485,olmesartan
Phecode:513.4,0.139275535,Hyperventilation
Phecode:561,0.138846477,Symptoms involving digestive system
Phecode:426.3,0.138517898,Bundle branch block
RXNORM:693549,0.138297637,twocal
J98.11,0.138046498,Atelectasis
Phecode:359,0.137800342,Muscular dystrophies and other myopathies
Phecode:458,0.136863022,Hypotension
Phecode:134.1,0.136453415,Intestinal helminthiases
RXNORM:4278,0.136374543,famotidine
RXNORM:6069,0.135827841,ivermectin
Phecode:756.1,0.135579802,Congenital anomalies of abdominal wall; diaphram
Phecode:271,0.135259415,Disorders of carbohydrate transport and metabolism
ShortName:eGFR,0.135185283,ShortName:eGFR
LOINC:19225-2,0.135159097,LOINC:DEOXYHEMOGLOBIN/HEMOGLOBIN.TOTAL
RXNORM:1607583,0.134977604,medication disposal
ShortName:Mg - BSP,0.134257535,ShortName:Mg - BSP
LOINC:749-2,0.133274402,LOINC:MYELOCYTES/100 LEUKOCYTES
RXNORM:58300,0.132986918,zinc gluconate
CCS:216,0.132109926,Respiratory intubation and mechanical ventilation
ShortName:Albumin,0.131210046,ShortName:Albumin
ShortName:proBNP,0.131170709,ShortName:proBNP
RXNORM:1551777,0.131165865,naloxegol
Phecode:506,0.131117212,Empyema and pneumothorax
CCS:93,0.13110816,Other non-OR upper GI therapeutic procedures
ShortName:pH,0.130872605,pH
Phecode:276.12,0.130803304,Hyposmolality and/or hyponatremia
Phecode:780,0.130787184,Hypothermia/Chills
Phecode:447.7,0.130589615,Aortic ectasia
Phecode:427,0.130562955,Cardiac dysrhythmias
RXNORM:1307619,0.130515681,bosutinib
Phecode:790.6,0.130093629,Other abnormal blood chemistry
Phecode:1010.7,0.130014424,"Persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances"
ShortName:Sodium - Ur,0.129966338,Sodium - Ur
Phecode:255.2,0.129871192,Adrenal hypofunction
Phecode:783,0.129570981,Fever of unknown origin
RXNORM:1592737,0.128959841,nintedanib
Phecode:286,0.128922855,Coagulation defects
Phecode:260.2,0.128696547,severe protein-calorie malnutrition
Phecode:1010.1,0.128688364,screening for infectious and parasitic diseases
RXNORM:614373,0.128065124,deferasirox
RXNORM:258494,0.127959535,exemestane
ShortName:Oxygen Partial Pressure,0.127746047,Oxygen Partial Pressure
Phecode:502,0.127589932,Postinflammatory pulmonary fibrosis
Phecode:271.3,0.127547359,Intestinal disaccharidase deficiencies and disaccharide malabsorption
CCS:11,0.127479435,Diagnostic endocrine procedures
Phecode:519.1,0.127074603,Tracheostomy complications
Phecode:261.1,0.126850287,Vitamin A deficiency
Phecode:288.1,0.126819048,Decreased white blood cell count
RXNORM:20481,0.126778507,cefepime
Phecode:508,0.126649024,Pulmonary collapse; interstitial and compensatory emphysema
Phecode:790.8,0.12645636,Elevated C-reactive protein (CRP)
RXNORM:10691,0.126025791,tranexamic acid
Phecode:276.5,0.125948131,Hypovolemia
LOINC:30361-0,0.125841625,LOINC:HIV 2 AB
Phecode:427.6,0.124196518,Premature beats
Phecode:287,0.12360801,Purpura and other hemorrhagic conditions
RXNORM:2193,0.12340357,ceftriaxone
Phecode:519.8,0.123371033,"Other diseases of respiratory system, NEC"
RXNORM:136198,0.122601978,darifenacin
Phecode:772.4,0.122266367,Rhabdomyolysis
ShortName:Base Excess,0.122240841,Base Excess
Phecode:480.11,0.121781872,Pneumococcal pneumonia
ShortName:Oxygen Saturation,0.121095173,Oxygen Saturation
Phecode:255.21,0.121005871,Glucocorticoid deficiency
RXNORM:35302,0.120050414,sirolimus
Phecode:657,0.119953286,Infections specific to the perinatal period
Phecode:600,0.119538326,Hyperplasia of prostate
Phecode:429.3,0.119154387,Symptoms involving cardiovascular system
RXNORM:794741,0.119104419,propass
ShortName:MPV,0.119075721,ShortName:MPV
RXNORM:1908,0.119054737,calcium gluconate
Phecode:656,0.118587355,Other perinatal conditions of fetus or newborn
Phecode:134,0.118542536,Helminthiases
Phecode:292.4,0.11852964,Altered mental status
RXNORM:8782,0.118147947,propofol
Phecode:260.6,0.117861511,Anorexia
Phecode:275.51,0.117673769,Hypocalcemia
LOINC:740-1,0.117124311,LOINC:METAMYELOCYTES/100 LEUKOCYTES
Phecode:401.2,0.117114795,Hypertensive heart and/or renal disease
ShortName:Sodium - BSP,0.116967867,ShortName:Sodium - BSP
Phecode:459.7,0.116911274,Blood vessel replaced
Phecode:798,0.116788599,Malaise and fatigue
Phecode:504,0.116703971,Other alveolar and parietoalveolar pneumonopathy
ShortName:ESR,0.11627027,ShortName:ESR
Phecode:401.21,0.115938997,Hypertensive heart disease
Phecode:415.2,0.115676065,Chronic pulmonary heart disease
RXNORM:21406,0.1149947,coenzyme q10
RXNORM:689761,0.114687328,phosphorus/potassium/sodium
RXNORM:44281,0.114120689,cevimeline
ShortName:Bicarbonate,0.113789905,ShortName:Bicarbonate
RXNORM:1009077,0.11331843,petrolatum/zinc oxide
LOINC:29893-5,0.11326068,LOINC:HIV 1 AB
CCS:178,0.113210765,CT scan chest
Phecode:411.9,0.112867014,Other acute and subacute forms of ischemic heart disease
Phecode:008.6,0.111765431,Viral Enteritis
ShortName:Glucose - CSF,0.111218354,Glucose - CSF
RXNORM:710370,0.111095912,lambs wool
J98.8,0.110827279,Other specified respiratory disorders
Phecode:426,0.110494185,Cardiac conduction disorders
Phecode:276.14,0.110287607,Hypopotassemia
Phecode:656.3,0.110168508,Endocrine and metabolic disturbances of fetus and newborn
RXNORM:6960,0.109914716,midazolam
Phecode:519,0.109850181,"Other diseases of respiratory system, not elsewhere classified"
ShortName:Lactate - BSP,0.109612668,Lactate - BSP
Phecode:285.22,0.109590627,Anemia in neoplastic disease
Phecode:426.8,0.109466346,Other cardiac conduction disorders
Phecode:287.3,0.109228211,Thrombocytopenia
Phecode:573.9,0.108954652,Abnormal serum enzyme levels
ShortName:WBC,0.108836318,ShortName:WBC
CCS:202,0.108805119,Electrocardiogram
LOINC:10466-1,0.108282647,LOINC:ANION GAP 3
Phecode:276.13,0.108100729,Hyperpotassemia
Phecode:348,0.107651463,Other conditions of brain
Phecode:275,0.107617484,Disorders of mineral metabolism
ShortName:Mono - Abs,0.107448898,ShortName:Mono - Abs
Phecode:275.5,0.107344744,Disorders of calcium/phosphorus metabolism
Phecode:427.1,0.107180706,"Paroxysmal tachycardia, unspecified"
Phecode:1010.3,0.106979349,screening for other diseases and disorders
Phecode:415,0.106485032,Pulmonary heart disease
ShortName:Chloride - BSP,0.10646098,ShortName:Chloride - BSP
Phecode:519.2,0.106320404,Respiratory complications
Phecode:1010.5,0.10616046,"potential health hazards related to communicable diseases
potential health hazards related to communicable diseases "
LOINC:29247-4,0.106003773,LOINC:SIROLIMUS
RXNORM:760056,0.105835337,"gauze,iodoform"
ShortName:Neut - Abs,0.105717885,ShortName:Neut - Abs
LOINC:3274-8,0.105252117,LOINC:HEPARIN.UNFRACTIONATED
Phecode:564.9,0.104582588,Personal history of diseases of digestive system
RXNORM:1649480,0.104492249,ivabradine
ShortName:Eos - Abs,0.104356456,ShortName:Eos - Abs
ShortName:Calcium - BSP,0.104118858,ShortName:Calcium - BSP
LOINC:702-1,0.103843761,LOINC:ANISOCYTOSIS
RXNORM:29561,0.103814441,meropenem
RXNORM:31819,0.103597961,nitazoxanide
ShortName:RDW,0.103480319,ShortName:RDW
Phecode:426.31,0.103406199,Right bundle branch block
ShortName:Potas - BSP,0.103338332,ShortName:Potas - BSP
Phecode:276.6,0.103325859,Fluid overload
Phecode:496,0.103200723,Chronic airway obstruction
Phecode:426.4,0.10315135,Anomalous atrioventricular excitation
Phecode:507,0.103111048,Pleurisy; pleural effusion
ShortName:Lymph - Abs,0.102973506,ShortName:Lymph - Abs
Phecode:1090,0.102786088,Acquired absence of organs
Phecode:038.3,0.102755413,Bacteremia
LOINC:709-6,0.102753076,LOINC:BLASTS/100 LEUKOCYTES
ShortName:Hemoglobin,0.102467806,ShortName:Hemoglobin
ShortName:Mono - Fra,0.10246582,ShortName:Mono - Fra
LOINC:783-1,0.102324845,LOINC:PROMYELOCYTES/100 LEUKOCYTES
ShortName:Platelet,0.10224484,ShortName:Platelet
LOINC:2777-1,0.102209929,LOINC:PHOSPHATE
Phecode:478,0.10204141,Throat pain
Phecode:797.1,0.101854071,Cardiogenic shock
Phecode:585.4,0.101686379,"Chronic kidney disease, Stage I or II"
ShortName:MCH,0.101602353,ShortName:MCH
Phecode:960.1,0.101525988,Adverse effects of antibacterials (not penicillins)
Phecode:259.1,0.101189958,Nonspecific abnormal results of other endocrine function study
RXNORM:214488,0.100983549,dextromethorphan/guaifenesin
ShortName:HCT,0.100975748,ShortName:HCT
Phecode:427.42,0.100944815,Cardiac arrest
Phecode:427.11,0.100902322,Paroxysmal supraventricular tachycardia
Phecode:505,0.100849693,Other pulmonary inflamation or edema
LOINC:7798-2,0.10069671,LOINC:SMUDGE CELLS
Phecode:573.7,0.100581252,Abnormal results of function study of liver
Phecode:516,0.100529587,Abnormal sputum
LOINC:2692-2,0.100284216,LOINC:OSMOLALITY
Phecode:427.4,0.100154482,Cardiac arrest and ventricular fibrillation
LOINC:738-5,0.099990069,LOINC:MACROCYTES
RXNORM:693419,0.099768577,"multivitamins,herbal"
RXNORM:35629,0.099686654,lactated ringer's
LOINC:41499-5,0.099614565,LOINC:LEGIONELLA PNEUMOPHILA 1 AG
LOINC:24467-3,0.099547462,LOINC:CELLS.CD3+CD4+
LOINC:703-9,0.099480904,LOINC:BASOPHILIC STIPPLING
RXNORM:6902,0.097593776,methylprednisolone
Phecode:429,0.097560387,Ill-defined descriptions and complications of heart disease
ShortName:BUN - BSP,0.097253038,ShortName:BUN - BSP
Phecode:1010,0.097148036,Other tests
Phecode:427.8,0.097135021,Sinoatrial node dysfunction (Bradycardia)
RXNORM:283742,0.096999653,esomeprazole
RXNORM:337623,0.096589836,"dornase alfa,rdna"
Phecode:426.23,0.096149637,Second degree AV block
Phecode:465,0.096108522,Acute upper respiratory infections of multiple or unspecified sites
RXNORM:214715,0.095907057,iron/multivitamins
Phecode:500.1,0.095824173,Extrinsic allergic alveolitis
Phecode:289.9,0.09560398,Abnormality of red blood cells
RXNORM:29899,0.095391986,methylnaltrexone
RXNORM:670392,0.09516102,microchamber
Phecode:288.3,0.095044396,Eosinophilia
RXNORM:3289,0.094645363,dextromethorphan
Phecode:250.21,0.094143824,Type 2 diabetes with ketoacidosis
LOINC:14979-9,0.094140872,LOINC:COAGULATION SURFACE INDUCED
J98.9,0.094012939,"Respiratory disorder, unspecified"
ShortName:MCV,0.09394589,ShortName:MCV
Phecode:459,0.093691112,Other disorders of circulatory system
LOINC:10378-8,0.093477866,LOINC:POLYCHROMASIA
Phecode:260.3,0.093340439,Adult failure to thrive
LOINC:8123-2,0.092960023,LOINC:CELLS.CD3+CD4+/100 CELLS
CCS:222,0.092878383,Blood transfusion
ShortName:RBC,0.092481423,ShortName:RBC
ShortName:Creat - BSP,0.092394308,ShortName:Creat - BSP
Phecode:496.2,0.092390674,Chronic bronchitis
Phecode:516.1,0.092299905,Hemoptysis
Phecode:255,0.09198471,Disorders of adrenal glands
ShortName:MCHC,0.091693161,ShortName:MCHC
ShortName:Lactate Dehydrogenase,0.091605469,Lactate Dehydrogenase
Phecode:259.8,0.09138609,Polyglandular activity in multiple endocrine adenomatosis
Phecode:282.9,0.09132649,Other hereditary hemolytic anemias
Phecode:327.32,0.091090087,Obstructive sleep apnea
Phecode:496.21,0.090927174,Obstructive chronic bronchitis
CCS:237,0.090741972,Ancillary Services
Phecode:428.4,0.090193959,Heart failure with preserved EF [Diastolic heart failure]
LOINC:779-9,0.09016955,LOINC:POIKILOCYTOSIS
ShortName:Neut - Fra,0.089994879,ShortName:Neut - Fra
CCS:39,0.089986166,"Incision of pleura, thoracentesis, chest drainage"
Phecode:375.2,0.089932314,Epiphora
RXNORM:149,0.089539462,acebutolol
RXNORM:222292,0.088953917,easivent
Phecode:427.21,0.088888021,Atrial fibrillation
Phecode:381.3,0.088160566,Mastoiditis & related conditions
Phecode:244.1,0.08682025,Secondary hypothyroidism
RXNORM:214442,0.086700208,codeine/guaifenesin
RXNORM:1595283,0.086514704,ferric iron
RXNORM:448,0.08650363,alcohol
Phecode:479,0.08638145,Other upper respiratory disease
Phecode:427.2,0.08622766,Atrial fibrillation and flutter
Phecode:427.12,0.085961652,Paroxysmal ventricular tachycardia
Phecode:031,0.085933559,Diseases due to other mycobacteria
LOINC:46425-5,0.085829561,LOINC:LIPEMIC INDEX
Phecode:285.1,0.085699032,Acute posthemorrhagic anemia
Phecode:008.5,0.085612286,Bacterial enteritis
RXNORM:73494,0.085489535,telmisartan
LOINC:7790-9,0.085359421,LOINC:BURR CELLS
Phecode:428,0.085334397,Congestive heart failure; nonhypertensive
Phecode:401,0.084784009,Hypertension
ShortName:Lymph - Fra,0.084634603,ShortName:Lymph - Fra
RXNORM:693156,0.083384071,isosource 1.5
ShortName:CKMB - Abs,0.083377188,ShortName:CKMB - Abs
Phecode:415.1,0.083130071,Acute pulmonary heart disease
LOINC:34712-0,0.08304889,LOINC:CLOSTRIDIUM DIFFICILE
Phecode:480.5,0.082874778,Bronchopneumonia and lung abscess
ShortName:Troponin T,0.082861739,ShortName:Troponin T
Phecode:289,0.08284087,Other diseases of blood and blood-forming organs
ShortName:Eos - Fra,0.082634043,ShortName:Eos - Fra
RXNORM:8814,0.082631943,epoprostenol
LOINC:46424-8,0.082613004,LOINC:HEMOLYSIS INDEX
Phecode:008,0.082565683,Intestinal infection
ShortName:BOHB,0.082563554,ShortName:BOHB
Phecode:736.1,0.082474939,Acquired deformities of forearm
Phecode:557.1,0.082409349,Celiac disease
RXNORM:751179,0.082292297,"oral,swab"
Phecode:573.4,0.082166737,Acute and subacute necrosis of liver
Phecode:275.3,0.08195377,Disorders of magnesium metabolism
Phecode:504.1,0.081904123,Idiopathic fibrosing alveolitis
Phecode:415.11,0.081865653,"Pulmonary embolism and infarction, acute"
ShortName:Baso - Abs,0.081847292,ShortName:Baso - Abs
Phecode:277.4,0.081704209,Disorders of bilirubin excretion
Phecode:401.1,0.081631876,Essential hypertension
Phecode:290.2,0.081546118,Delirium due to conditions classified elsewhere
RXNORM:214354,0.081485883,candesartan
CCS:42,0.081265085,Other OR therapeutic procedures on respiratory system
Phecode:427.5,0.08125768,Arrhythmia (cardiac) NOS
Phecode:510,0.081164614,Other diseases of lung
Phecode:440.9,0.081103236,Atherosclerosis of aorta
RXNORM:1544176,0.080691865,moisturizer
Phecode:426.9,0.080611761,Cardiac pacemaker/device in situ
RXNORM:107602,0.080548948,epinephrine/lidocaine
LOINC:6362-8,0.08033844,LOINC:CLOSTRIDIUM DIFFICILE TOXIN A+B
RXNORM:4337,0.080307445,fentanyl
LOINC:774-0,0.079659731,LOINC:OVALOCYTES
Phecode:112,0.079638461,Candidiasis
RXNORM:356887,0.079160087,levocetirizine
Phecode:589,0.078686511,Abnormal results of function study of kidney
Phecode:289.5,0.07855901,Diseases of spleen
RXNORM:37617,0.07824397,tazobactam
ShortName:Urea Nitrogen - Ur,0.078203972,Urea Nitrogen - Ur
Phecode:041,0.077732177,Bacterial infection NOS
RXNORM:1364430,0.077466977,apixaban
Phecode:275.53,0.077277179,Disorders of phosphorus metabolism
LOINC:792-2,0.077191621,LOINC:ERYTHROCYTES
Phecode:284,0.077031595,Aplastic anemia
Phecode:315,0.077022853,Develomental delays and disorders
Phecode:246.7,0.076933778,Abnormal results of function study of thyroid
Phecode:598,0.076916463,Abnormal findings on examination of urine
LOINC:26454-9,0.076703058,LOINC:ERYTHROCYTES
Phecode:428.3,0.076667986,Heart failure with reduced EF [Systolic or combined heart failure]
RXNORM:2287,0.076616853,cetylpyridinium chloride
LOINC:741-9,0.076593629,LOINC:MICROCYTES
ShortName:Phosphate - Ur,0.076444604,Phosphate - Ur
Phecode:979,0.076221977,Adverse drug events and drug allergies
Phecode:389.3,0.075961206,Degenerative and vascular disorders of ear
RXNORM:720825,0.075416198,silodosin
Phecode:285,0.075411915,Other anemias
Phecode:282,0.075200455,Hereditary hemolytic anemias
RXNORM:637366,0.074969583,wheat dextrin
RXNORM:214614,0.074886354,homatropine/hydrocodone
Phecode:411.2,0.074548538,Myocardial infarction
Phecode:661,0.07447541,Fetal distress and abnormal forces of labor
Phecode:008.52,0.074194127,Intestinal infection due to C. difficile
Phecode:286.7,0.0738412,Other and unspecified coagulation defects
Phecode:634,0.07378435,Miscarriage; stillbirth
Phecode:250.15,0.073644477,Diabetes type 1 with peripheral circulatory disorders
RXNORM:214223,0.073608378,amlodipine/benazepril
RXNORM:5521,0.07351693,hydroxychloroquine
Phecode:416,0.073398324,Cardiomegaly
Phecode:496.1,0.073383781,Emphysema
J98.6,0.073322272,Disorders of diaphragm
Phecode:117.4,0.073321614,Aspergillosis
Phecode:426.2,0.073154589,Atrioventricular [AV] block
Phecode:964,0.072717545,Poisoning by agents primarily affecting blood constituents
Phecode:555.21,0.072391135,Ulcerative colitis (chronic)
Phecode:578.9,0.072339797,Hemorrhage of gastrointestinal tract
Phecode:598.9,0.072103954,Other nonspecific findings on examination of urine
Phecode:327.3,0.072046548,Sleep apnea
Phecode:426.21,0.072022056,First degree AV block
Phecode:286.8,0.071813142,Hypercoagulable state
Phecode:433.31,0.071325527,Transient cerebral ischemia
RXNORM:306266,0.07124571,entecavir
Phecode:287.32,0.071218328,Secondary thrombocytopenia
Phecode:284.1,0.071010385,Pancytopenia
Phecode:729,0.070867123,Other disorders of soft tissues
Phecode:041.4,0.070802226,E. coli
RXNORM:72435,0.070650288,anakinra
Phecode:008.51,0.070449539,Intestinal e.coli
Phecode:694.3,0.070354714,Vascular disorders of skin
Phecode:452.2,0.070354017,Deep vein thrombosis [DVT]
RXNORM:9000,0.070004386,pyridostigmine
Phecode:250.22,0.069988859,Type 2 diabetes with renal manifestations
RXNORM:6652,0.069757681,mask
RXNORM:1991302,0.069708261,semaglutide
LOINC:2695-5,0.069671337,LOINC:OSMOLALITY
CCS:71,0.069665951,"Gastrostomy, temporary and permanent"
LOINC:4485-9,0.069664317,LOINC:COMPLEMENT C3
Phecode:591,0.069662555,Urinary tract infection
Phecode:441.2,0.069531543,Chronic vascular insufficiency of intestine
Phecode:789,0.069409959,Nausea and vomiting
Phecode:346.1,0.06922202,Nonspecific abnormal findings on radiological and other examination of skull and head
Phecode:202.22,0.068952246,Reticulosarcoma
Phecode:427.3,0.068849716,Other specified cardiac dysrhythmias
RXNORM:833995,0.068654895,proteinex
Phecode:585.33,0.068552703,"Chronic Kidney Disease, Stage III"
Phecode:204.22,0.068518833,"Myeloid leukemia, chronic"
RXNORM:2396,0.068460699,chlorothiazide
RXNORM:304962,0.068373394,arformoterol
Phecode:263,0.068367627,Other nutritional deficiency
LOINC:26458-0,0.06832593,LOINC:ERYTHROCYTES
Phecode:041.2,0.068253792,Streptococcus infection
ShortName:Baso - Fra,0.068212385,ShortName:Baso - Fra
RXNORM:2191,0.068106794,ceftazidime
Phecode:038.2,0.068079425,Gram positive septicemia
RXNORM:597142,0.067079467,brimonidine/timolol
LOINC:4498-2,0.067048244,LOINC:COMPLEMENT C4
RXNORM:66887,0.066911109,"epinephrine,racemic"
RXNORM:358274,0.066669253,ambrisentan
Phecode:870.5,0.066646682,Open wound of lip and mouth
Phecode:426.24,0.066625734,"Atrioventricular block, complete"
RXNORM:135391,0.066493945,olopatadine
Phecode:041.1,0.06614871,Staphylococcus infections
RXNORM:4850,0.065469238,glucose
LOINC:33959-8,0.065382082,LOINC:PROCALCITONIN
RXNORM:74169,0.065305699,piperacillin/tazobactam
RXNORM:691277,0.065222336,metronidazole/sodium chloride
ShortName:Bilirubin Direct,0.065164458,ShortName:Bilirubin Direct
RXNORM:1598380,0.065013802,cobicistat/darunavir
Phecode:578,0.064944316,Gastrointestinal hemorrhage
LOINC:6412-1,0.064877294,LOINC:GIARDIA LAMBLIA AG
RXNORM:8339,0.064755033,piperacillin
Phecode:513.8,0.064595351,Disorders of diaphragm
Phecode:585,0.06455606,Renal failure
RXNORM:1009148,0.064549741,ampicillin/sulbactam
LOINC:4092-3,0.064453898,LOINC:VANCOMYCIN
RXNORM:435,0.06409228,albuterol
ShortName:Glucose,0.063849578,ShortName:Glucose
Phecode:781,0.063495721,Symptoms involving nervous and musculoskeletal systems
RXNORM:433,0.063334222,albumin
RXNORM:812263,0.063311677,gauze
RXNORM:1725714,0.063304573,patiromer calcium sorbitex
