Variable,Description,RXCUI,ATC,VA,VA_Drug
RXNORM:1007587,acetaminophen/chlorpheniramine/dextromethorphan,1007587,,ANTIHISTAMINE/ANTITUSSIVE/ANALGESIC,acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG Oral Tablet
RXNORM:1007645,calcium chloride/fibrogen/fibrinolysis inhibitor/thrombin...inhibitor/thrombin,1007645,,,
RXNORM:1007769,bismuth/metronidazole/tetracycline,1007769,Combinations for eradication of Helicobacter pylori,H. PYLORI AGENTS,bismuth subcitrate 140 MG / metronidazole 125 MG / tetracycline hydrochloride 125 MG Oral Capsule [Pylera]
RXNORM:1007802,dextran 70/glycerin/hypromellos,1007802,,EYE WASHES/LUBRICANTS,dextran 70 1 MG/ML / glycerin 2 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution [Tears Naturale Forte]
RXNORM:1007804,acyclovir/hydrocortisone,1007804,,"ANTIVIRAL,TOPICAL",acyclovir 50 MG/ML / hydrocortisone 10 MG/ML Topical Cream [Xerese]
RXNORM:1007809,magnesium sulfate/potassium sulfate/sodium sulfate,1007809,,HYPEROSMOTIC LAXATIVES,{2 (355 ML) (magnesium sulfate 0.0277 MEQ/ML / potassium sulfate 0.0374 MEQ/ML / sodium sulfate 0.257 MEQ/ML Oral Solution) } Pack
RXNORM:1007820,amylase/lipase/protease,1007820,,,
RXNORM:1007892,methenamine/sodium biphosphate,1007892,,METHENAMINE SALTS ANTIMICROBIALS,"methenamine mandelate 500 MG / sodium phosphate, monobasic 500 MG Oral Tablet [Uroqid-Acid No.2]"
RXNORM:1007905,sulfonated phenol/sulfuric acid,1007905,,"DENTAL AND ORAL AGENTS,TOPICAL,OTHER",sulfonated phenol 500 MG/ML / sulfuric acid 300 MG/ML Medicated Pad [Debacterol]
RXNORM:1008065,ferrous sulfate/folic acid,1008065,,,
RXNORM:1008092,brompheniramine/dextromethorphan/phenylephrine,1008092,,ANTIHISTAMINE/DECONGESTANT/ANTITUSSIVE,brompheniramine maleate 0.8 MG/ML / dextromethorphan hydrobromide 6 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution
RXNORM:1008093,carboxymethylcellulose/hypromellose,1008093,,EYE WASHES/LUBRICANTS,carboxymethylcellulose 0.0025 MG/MG / hypromellose 0.003 MG/MG Ophthalmic Gel
RXNORM:1008141,ascorbic acid/ferrous fumarate/folic acid,1008141,,,
RXNORM:1008340,docusate/sennosides,1008340,,STIMULANT LAXATIVES,"docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet"
RXNORM:1008343,lactic acid/urea,1008343,,"KERATOLYTICS/CAUSTICS,TOPICAL|EMOLLIENTS",lactic acid 40 MG/ML / urea 100 MG/ML Topical Cream [Atrac-Tain]
RXNORM:1008386,ascorbic acid/ferrous sulfate/folic acid,1008386,,MULTIVITAMINS WITH MINERALS,ascorbic acid 500 MG / ferrous sulfate 525 MG / folic acid 0.8 MG Extended Release Oral Tablet [Folitab]
RXNORM:1008559,ferrous fumarate/folic acid,1008559,,,
RXNORM:1008567,chondroitin/glucosamine,1008567,,HERBS/ALTERNATIVE THERAPIES,chondroitin sulfates / glucosamine Pill
RXNORM:1008574,sodium biphosphate/sodium phosphate,1008574,,,
RXNORM:1008621,potassium nitrate/sodium fluoride,1008621,,"CARIOSTATICS,TOPICAL",potassium nitrate 0.05 MG/MG / sodium fluoride 0.011 MG/MG Toothpaste [Prevident 5000 Sensitive]
RXNORM:1008712,dextrose/heparin,1008712,,,
RXNORM:1008801,amlodipine/hydrochlorothiazide/olmesartan,1008801,,ANTIHYPERTENSIVE COMBINATIONS,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet
RXNORM:1008818,lidocaine/menthol,1008818,,"LOCAL ANESTHETICS,TOPICAL",lidocaine 40 MG/ML / menthol 10 MG/ML Topical Cream
RXNORM:1008821,castor oil/peruvian balsam,1008821,,"STIMULANT LAXATIVES|DERMATOLOGICALS,TOPICAL OTHER",castor oil 0.788 MG/MG / Peruvian balsam 0.087 MG/MG Topical Ointment [Venelex]
RXNORM:1008849,salicylic acid/urea,1008849,,"KERATOLYTICS/CAUSTICS,TOPICAL",salicylic acid 0.05 MG/MG / urea 0.1 MG/MG Topical Ointment
RXNORM:1008892,chondroitin/hyaluronate,1008892,,"OPHTHALMICS,OTHER",1 ML chondroitin sulfates 40 MG/ML / sodium hyaluronate 17 MG/ML Prefilled Syringe [DisCoVisc]
RXNORM:1008932,amylase/cellulase/lipase/protease,1008932,,,
RXNORM:1008933,diphtheria/haemophilus/pertussis/polio/tetanus,1008933,,"IMMUNOLOGICAL AGENTS,OTHER","0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Pentacel]"
RXNORM:1009,antithrombin iii,1009,Heparin group,BLOOD DERIVATIVES,antithrombin alfa 1 UNT Injection [ATryn]
RXNORM:1009015,amlodipine/olmesartan,1009015,,ANTIHYPERTENSIVE COMBINATIONS,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor]
RXNORM:1009033,calcium carbonate/folic acid/magnesium carbonate,1009033,,CALCIUM/MAGNESIUM CONTAINING ANTACIDS,calcium carbonate 200 MG / folic acid 1 MG / magnesium carbonate 400 MG Oral Tablet [MagneBind 400 Rx]
RXNORM:1009077,petrolatum/zinc oxide,1009077,,EMOLLIENTS,petrolatum 750 MG/ML / zinc oxide 200 MG/ML Topical Cream
RXNORM:1009142,loteprednol/tobramycin,1009142,,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC",loteprednol etabonate 5 MG/ML / tobramycin 3 MG/ML Ophthalmic Suspension [Zylet]
RXNORM:1009148,ampicillin/sulbactam,1009148,"Combinations of penicillins, incl. beta-lactamase inhibitors","PENICILLINS,AMINO DERIVATIVES",ampicillin 100 MG/ML / sulbactam 50 MG/ML Injectable Solution
RXNORM:1009149,aluminum hydroxide/magnesium hydroxide,1009149,,,
RXNORM:1009153,potassium bicarbonate/potassium citrate,1009153,,,
RXNORM:10106,streptokinase,10106,Enzymes,,
RXNORM:10109,streptomycin,10109,Antibiotics|Streptomycins,AMINOGLYCOSIDES,streptomycin 1000 MG Injection
RXNORM:1011,anti-thymocyte globulin,1011,,"IMMUNOLOGICAL AGENTS,OTHER","5 ML lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection [ATGAM]"
RXNORM:10114,streptozocin,10114,Nitrosoureas,ANTINEOPLASTIC ANTIBIOTICS,streptozocin 1000 MG Injection
RXNORM:1011426,papaya,1011426,,,
RXNORM:1011650,pegloticase,1011650,Other antigout preparations,ANTIGOUT AGENTS,1 ML pegloticase 8 MG/ML Injection [Krystexxa]
RXNORM:1012892,fingolimod,1012892,Selective immunosuppressants,"MUSCULOSKELETAL AGENTS,OTHER",fingolimod 0.25 MG Oral Capsule [Gilenya]
RXNORM:1013625,drospirenone/ethinyl estradiol/levomefolate,1013625,,"CONTRACEPTIVES,SYSTEMIC",{21 (drospirenone 3 MG / ethinyl estradiol 0.03 MG / levomefolate calcium 0.451 MG Oral Tablet) / 7 (levomefolate calcium 0.451 MG Oral Tablet) } Pack
RXNORM:10154,succinylcholine,10154,Choline derivatives,NEUROMUSCULAR BLOCKING AGENTS,succinylcholine chloride 20 MG/ML Injectable Solution [Quelicin]
RXNORM:10156,sucralfate,10156,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"PROTECTANTS,ULCER",sucralfate 1000 MG Oral Tablet
RXNORM:10167,sulbactam,10167,Beta-lactamase inhibitors,"PENICILLINS,AMINO DERIVATIVES",ampicillin 100 MG/ML / sulbactam 50 MG/ML Injectable Solution
RXNORM:10169,sulfacetamide,10169,Sulfonamides|Antiinfectives for treatment of acne,"ANTIBACTERIALS,TOPICAL OPHTHALMIC|KERATOLYTICS/CAUSTICS,TOPICAL|ANTI-INFECTIVE,TOPICAL|ANTIACNE AGENTS,TOPICAL|ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC|ANTIBACTERIAL,TOPICAL",sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap
RXNORM:10171,sulfadiazine,10171,Intermediate-acting sulfonamides,SULFONAMIDE/RELATED ANTIMICROBIALS,sulfadiazine 500 MG Oral Tablet
RXNORM:10180,sulfamethoxazole,10180,Intermediate-acting sulfonamides,SULFONAMIDE/RELATED ANTIMICROBIALS,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Bactrim]
RXNORM:10184,sulfanilamide,10184,Sulfonamides|Short-acting sulfonamides,,
RXNORM:10188,sulfapyridine,10188,Short-acting sulfonamides,,
RXNORM:10205,sulfinpyrazone,10205,Preparations increasing uric acid excretion,,
RXNORM:10207,sulfisoxazole,10207,Sulfonamides|Short-acting sulfonamides,"ANTI-INFECTIVES,OTHER",erythromycin ethylsuccinate 40 MG/ML / sulfisoxazole 120 MG/ML Oral Suspension
RXNORM:10223,sulfur,10223,Preparations containing sulfur,"ANTIACNE AGENTS,TOPICAL|KERATOLYTICS/CAUSTICS,TOPICAL|SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS",sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap
RXNORM:10237,sulindac,10237,Acetic acid derivatives and related substances,"NONSALICYLATE NSAIs,ANTIRHEUMATIC",sulindac 100 MG Oral Tablet
RXNORM:103,mercaptopurine,103,Purine analogues,"ANTINEOPLASTICS,ANTIMETABOLITES",mercaptopurine 50 MG Oral Tablet
RXNORM:10311,tablet,10311,,,
RXNORM:10323,talc,10323,,"INTRAPLEURAL SCLEROSING AGENTS|DERMATOLOGICALS,TOPICAL OTHER",talc 5000 MG Topical Powder
RXNORM:10324,tamoxifen,10324,Anti-estrogens,ANTINEOPLASTIC HORMONES,tamoxifen 2 MG/ML Oral Solution [Soltamox]
RXNORM:10328,tannic acid,10328,,,
RXNORM:10337,taurine,10337,,"AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES|HERBS/ALTERNATIVE THERAPIES",alanine 4.9 MG/ML / arginine 8.61 MG/ML / aspartate 3.7 MG/ML / glutamate 5.76 MG/ML / glycine 2.7 MG/ML / histidine 2.2 MG/ML / isoleucine 5.34 MG/ML / leucine 8.31 MG/ML / lysine 4.75 MG/ML / methionine 1.25 MG/ML / phenylalanine 3 MG/ML / proline 5.7 MG/ML / serine 3.47 MG/ML / taurine 0.5 MG/ML / threonine 3.6 MG/ML / tryptophan 1.25 MG/ML / tyrosine 0.44 MG/ML / valine 4.52 MG/ML Injectable Solution [Aminosyn-PF 7%]
RXNORM:10362,teniposide,10362,Podophyllotoxin derivatives,"ANTINEOPLASTIC,OTHER",5 ML teniposide 10 MG/ML Injection
RXNORM:10368,terbutaline,10368,Selective beta-2-adrenoreceptor agonists,"BRONCHODILATORS,SYMPATHOMIMETIC,ORAL|SYMPATHOMIMETICS (ADRENERGICS)",terbutaline sulfate 5 MG Oral Tablet
RXNORM:1038918,lantiseptic,1038918,,EMOLLIENTS,lanolin 370 MG/ML Topical Cream
RXNORM:10390,tetrabenazine,10390,Other nervous system drugs,VESICULAR MONOAMINE TRANSPORT TYPE 2 BLOCKER,tetrabenazine 12.5 MG Oral Tablet [Xenazine]
RXNORM:1039062,corn starch,1039062,,PHARMACEUTICAL AIDS/REAGENTS,corn starch
RXNORM:10391,tetracaine,10391,Esters of aminobenzoic acid|Anesthetics for topical use|Local anesthetics,"LOCAL ANESTHETICS,TOPICAL|ANESTHETICS,TOPICAL OPHTHALMIC|LOCAL ANESTHETICS,INJECTION|ANESTHETICS,MUCOSAL",benzocaine 140 MG/ML / butamben 20 MG/ML / tetracaine 20 MG/ML Mucosal Spray
RXNORM:10395,tetracycline,10395,Tetracycline and derivatives|Antiinfectives|Antiinfectives and antiseptics for local oral treatment|Antibiotics|Tetracyclines,"TETRACYCLINES|ANTIACNE AGENTS,TOPICAL|H. PYLORI AGENTS",{112 (bismuth subsalicylate 262 MG Chewable Tablet) / 56 (metronidazole 250 MG Oral Tablet) / 56 (tetracycline hydrochloride 500 MG Oral Capsule) } Pack [Helidac Theapy]
RXNORM:103990,carbidopa/levodopa,103990,,ANTIPARKINSON AGENTS,carbidopa 50 MG / levodopa 200 MG Extended Release Oral Tablet [Sinemet]
RXNORM:1040004,ceftaroline fosamil,1040004,Other cephalosporins and penems,"BETA-LACTAMS ANTIMICROBIALS,OTHER",ceftaroline fosamil 600 MG Injection [Teflaro]
RXNORM:1040005,ceftaroline,1040005,,,
RXNORM:1040028,lurasidone,1040028,Indole derivatives,"ANTIPSYCHOTICS,OTHER",lurasidone hydrochloride 60 MG Oral Tablet [Latuda]
RXNORM:1040053,dextromethorphan/quinidine,1040053,,"CNS MEDICATIONS,OTHER",dextromethorphan hydrobromide 20 MG / quinidine sulfate 10 MG Oral Capsule [Nuedexta]
RXNORM:10402,dronabinol,10402,Other antiemetics,ANTIEMETICS,dronabinol 10 MG Oral Capsule [Marinol]
RXNORM:1043,apomorphine,1043,Drugs used in erectile dysfunction|Dopamine agonists,ANTIPARKINSON AGENTS,3 ML apomorphine hydrochloride 10 MG/ML Cartridge [Apokyn]
RXNORM:10432,thalidomide,10432,Other immunosuppressants,"IMMUNOLOGICAL AGENTS,OTHER",thalidomide 150 MG Oral Capsule [Thalomid]
RXNORM:1043562,metformin/saxagliptin,1043562,Combinations of oral blood glucose lowering drugs,"ORAL HYPOGLYCEMIC AGENTS,ORAL",24 HR metformin hydrochloride 500 MG / saxagliptin 5 MG Extended Release Oral Tablet [Kombiglyze]
RXNORM:1044584,tesamorelin,1044584,Somatropin and somatropin agonists,"HORMONES/SYNTHETICS/MODIFIERS,OTHER",tesamorelin 1 MG Injection [Egrifta]
RXNORM:10450,thiabendazole,10450,Benzimidazole derivatives|Imidazole and triazole derivatives,,
RXNORM:1045453,eribulin,1045453,Other antineoplastic agents,"ANTINEOPLASTIC,OTHER",2 ML eribulin mesylate 0.5 MG/ML Injection [Halaven]
RXNORM:10471,thiethylperazine,10471,Phenothiazine derivatives,,
RXNORM:10473,thiotepa,10473,Ethylene imines,"ANTINEOPLASTICS,ALKYLATING AGENTS",thiotepa 15 MG Injection [Tepadina]
RXNORM:10485,thioguanine,10485,Purine analogues,"ANTINEOPLASTICS,ANTIMETABOLITES",thioguanine 40 MG Oral Tablet
RXNORM:1049136,cocoa butter/zinc oxide,1049136,,HEMORRHOIDAL PREPARATIONS WITHOUT STEROID,cocoa butter 0.76 MG/MG / zinc oxide 0.1 MG/MG Rectal Suppository [Calmol]
RXNORM:10493,thiopental,10493,"Barbiturates, plain",BARBITURIC ACID DERIVATIVE ANESTHETICS,20 ML thiopental 20 MG/ML Prefilled Syringe
RXNORM:10502,thioridazine,10502,Phenothiazines with piperidine structure,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS,thioridazine 10 MG Oral Tablet
RXNORM:10510,thiothixene,10510,Thioxanthene derivatives,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS,thiothixene 5 MG Oral Capsule
RXNORM:10528,thrombin,10528,Local hemostatics|Blood coagulation factors,ANTIHEMORRHAGICS,Bovine thrombin 2000 UNT/ML Nasal Spray
RXNORM:1056,aprotinin,1056,Proteinase inhibitors,,
RXNORM:105694,"epoetin alfa,recombinant",105694,,BLOOD FORMATION PRODUCTS,epoetin alfa-epbx 20000 UNT/ML Injectable Solution [Retacrit]
RXNORM:10572,thyroid,10572,,THYROID SUPPLEMENTS,thyroid (USP) 65 MG Oral Tablet [Nature-Throid]
RXNORM:10582,levothyroxine,10582,,THYROID SUPPLEMENTS,levothyroxine sodium 0.137 MG Oral Tablet [Unithroid]
RXNORM:10591,ticarcillin,10591,Penicillins with extended spectrum,EXTENDED SPECTRUM PENICILLINS,clavulanate 1 MG/ML / ticarcillin 30 MG/ML Injectable Solution
RXNORM:10594,ticlopidine,10594,Platelet aggregation inhibitors excl. heparin,PLATELET AGGREGATION INHIBITORS,ticlopidine hydrochloride 250 MG Oral Tablet
RXNORM:10600,timolol,10600,"Beta blocking agents|Beta blocking agents, non-selective","BETA-BLOCKERS,TOPICAL OPHTHALMIC|ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC|BETA BLOCKERS/RELATED",brimonidine tartrate 2 MG/ML / timolol 5 MG/ML Ophthalmic Solution [Combigan]
RXNORM:10612,tinidazole,10612,Imidazole derivatives|Nitroimidazole derivatives,"ANTIPROTOZOALS,OTHER",tinidazole 500 MG Oral Tablet [Tindamax]
RXNORM:106212,calamine,106212,,"DERMATOLOGICALS,TOPICAL OTHER",calamine Topical Lotion
RXNORM:10627,tobramycin,10627,Other aminoglycosides|Antibiotics,"ANTIBACTERIALS,TOPICAL OPHTHALMIC|ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC|RESPIRATORY AGENTS,OTHER|AMINOGLYCOSIDES",dexamethasone 0.5 MG/ML / tobramycin 3 MG/ML Ophthalmic Suspension
RXNORM:10633,tolazamide,10633,Sulfonylureas,"ORAL HYPOGLYCEMIC AGENTS,ORAL",tolazamide 500 MG Oral Tablet
RXNORM:10634,tolazoline,10634,Other topical products for joint and muscular pain|Imidazoline derivatives,,
RXNORM:10635,tolbutamide,10635,Sulfonylureas|Tests for diabetes,"ORAL HYPOGLYCEMIC AGENTS,ORAL",tolbutamide 500 MG Oral Tablet
RXNORM:10636,tolmetin,10636,"Antiinflammatory preparations, non-steroids for topical use|Acetic acid derivatives and related substances","NONSALICYLATE NSAIs,ANTIRHEUMATIC",tolmetin 600 MG Oral Tablet
RXNORM:10637,tolnaftate,10637,Other antifungals for topical use,"ANTIFUNGAL,TOPICAL",tolnaftate 10 MG/ML Topical Cream [Lamisil Defense]
RXNORM:106467,pneumococcal vaccine,106467,,,
RXNORM:106732,clemastine/phenylpropanolamine,106732,,,
RXNORM:106876,isoniazid/rifampin,106876,Combinations of drugs for treatment of tuberculosis,ANTITUBERCULARS,isoniazid 150 MG / rifampin 300 MG Oral Capsule [Rifamate]
RXNORM:10691,tranexamic acid,10691,Amino acids,ANTIHEMORRHAGICS,tranexamic acid 650 MG Oral Tablet [Lysteda]
RXNORM:106928,betamethasone/clotrimazole,106928,,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL",betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion
RXNORM:106955,hydrocortisone/pramoxine,106955,,"ANTI-INFLAMMATORY,TOPICAL|HEMORRHOIDAL PREPARATIONS WITH STEROID",hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Foam [Proctofoam-HC]
RXNORM:106964,hydrocortisone/lidocaine,106964,,"ANTI-INFLAMMATORY,TOPICAL|HEMORRHOIDAL PREPARATIONS WITH STEROID",hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML Rectal Cream [Ana-Lex]
RXNORM:106987,clioquinol/hydrocortisone,106987,,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL",clioquinol 30 MG/ML / hydrocortisone 5 MG/ML Topical Cream
RXNORM:107011,nystatin/triamcinolone,107011,,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL",nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream
RXNORM:10734,tranylcypromine,10734,"Monoamine oxidase inhibitors, non-selective",MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS,tranylcypromine 10 MG Oral Tablet
RXNORM:10737,trazodone,10737,Other antidepressants,"ANTIDEPRESSANTS,OTHER",trazodone hydrochloride 50 MG Oral Tablet
RXNORM:10753,tretinoin,10753,Other antineoplastic agents|Retinoids for topical use in acne,"ANTINEOPLASTIC,OTHER|ANTIACNE AGENTS,TOPICAL|DERMATOLOGICALS,TOPICAL OTHER",clindamycin phosphate 0.012 MG/MG / tretinoin 0.00025 MG/MG Topical Gel [Veltin]
RXNORM:10759,triamcinolone,10759,"Corticosteroids, moderately potent (group II)|Corticosteroids, plain|Corticosteroids for local oral treatment|Corticosteroids|Corticosteroids, moderately potent, other combinations|Glucocorticoids","ANTI-INFLAMMATORIES,NASAL|DENTAL AND ORAL AGENTS,TOPICAL,OTHER|ANTI-INFLAMMATORY,TOPICAL|ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL|GLUCOCORTICOIDS",triamcinolone acetonide 0.055 MG/ACTUAT Metered Dose Nasal Spray [Aller-Cort]
RXNORM:107602,epinephrine/lidocaine,107602,,"LOCAL ANESTHETICS,INJECTION",10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 20 MG/ML Injection [Xylocaine with Epinephrine]
RXNORM:107606,bupivacaine/epinephrine,107606,,"LOCAL ANESTHETICS,INJECTION",30 ML bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection [Sensorcaine with Epinephrine]
RXNORM:10763,triamterene,10763,Other potassium-sparing agents,POTASSIUM SPARING/COMBINATIONS DIURETICS,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide]
RXNORM:10767,triazolam,10767,Benzodiazepine derivatives,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,triazolam 0.25 MG Oral Tablet [Halcion]
RXNORM:10773,trichloroacetic acid,10773,,"KERATOLYTICS/CAUSTICS,TOPICAL",trichloroacetic acid 150 MG/ML Topical Solution [Trichlor Fresh Pak]
RXNORM:10798,trientine,10798,Various alimentary tract and metabolism products,HEAVY METAL ANTAGONISTS,trientine hydrochloride 250 MG Oral Capsule
RXNORM:10800,trifluoperazine,10800,Phenothiazines with piperazine structure,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS,trifluoperazine 5 MG Oral Tablet
RXNORM:10803,trifluridine,10803,Antivirals,"ANTIVIRALS,TOPICAL OPHTHALMIC|ANTINEOPLASTIC,OTHER",trifluridine 10 MG/ML Ophthalmic Solution
RXNORM:108038,acetaminophen/caffeine,108038,,NON-OPIOID ANALGESICS,acetaminophen 500 MG / caffeine 65 MG Oral Tablet [Excedrin Tension Headache]
RXNORM:10805,triflupromazine,10805,Phenothiazines with aliphatic side-chain,,
RXNORM:108088,alclometasone,108088,"Corticosteroids, moderately potent (group II)|Corticosteroids, plain","ANTI-INFLAMMATORY,TOPICAL",alclometasone dipropionate 0.0005 MG/MG Topical Ointment
RXNORM:10811,trihexyphenidyl,10811,Tertiary amines,PARASYMPATHOLYTICS,trihexyphenidyl hydrochloride 1 MG/ML Oral Solution
RXNORM:108118,mometasone,108118,"Corticosteroids, potent, other combinations|Corticosteroids|Glucocorticoids|Corticosteroids, potent (group III)","ANTI-INFLAMMATORY,TOPICAL|ANTI-INFLAMMATORIES,NASAL|ANTIASTHMA,OTHER|ANTI-INFLAMMATORIES,INHALATION",mometasone furoate 0.001 MG/MG Topical Ointment [Elocon]
RXNORM:10814,liothyronine,10814,,THYROID SUPPLEMENTS,liothyronine sodium 0.05 MG Oral Tablet [Cytomel]
RXNORM:10824,metipranolol,10824,Beta blocking agents,"BETA-BLOCKERS,TOPICAL OPHTHALMIC",metipranolol 3 MG/ML Ophthalmic Solution
RXNORM:10829,trimethoprim,10829,Trimethoprim and derivatives,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER|SULFONAMIDE/RELATED ANTIMICROBIALS|ANTI-INFECTIVES,OTHER",sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Bactrim]
RXNORM:10831,sulfamethoxazole/trimethoprim,10831,"Combinations of sulfonamides and trimethoprim, incl. derivatives",SULFONAMIDE/RELATED ANTIMICROBIALS,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Bactrim]
RXNORM:10834,trimipramine,10834,Non-selective monoamine reuptake inhibitors,TRICYCLIC ANTIDEPRESSANTS,trimipramine 50 MG Oral Capsule
RXNORM:1086019,flanders,1086019,,"DERMATOLOGICALS,TOPICAL OTHER",zinc oxide 0.134 MG/MG Topical Ointment
RXNORM:10865,tromethamine,10865,Other i.v. solution additives|Solutions affecting the electrolyte balance,"THERAPEUTIC NUTRIENTS/MINERALS/ELECTROLYES,OTHER",500 ML tromethamine 36 MG/ML Injection
